z;GdB;err;;;;;On prend   chaque minium/maximum
8.8;65.06;0.03;;;;;
8.817;62.33;0.03;;;;;
8.87;66.12;0.03;;;;;
8.899;62.12;0.03;;;;;
8.945;66.33;0.03;;;;;
8.991;62.67;0.04;;;;;
9.034;66.51;0.03;;;;;
9.07;62.58;0.05;;;;;
9.116;66.53;0.02;;;;;
9.158;62.65;0.04;;;;;
9.2;67;0.03;;;;;
9.239;62.57;0.04;;;;;4,2cm
9.291;66.61;0.03;;;;;
9.325;62.92;0.03;;;;;
9.37;66.18;0.03;;;;;
9.408;62.86;0.04;;;;;
9.455;66.48;0.03;;;;;
9.498;62.55;0.04;;;;;
9.552;66.38;0.03;;;;;
9.585;62.41;0.05;;;;;
9.63;65.88;0.03;;;;;
9.67;62.28;0.05;;;;;
9.712;65.72;0.03;;;;;
9.758;62.51;0.04;;;;;
9.798;65.58;0.04;;;;;
9.84;62.28;0.06;;;;;
9.881;65.43;0.03;;;;;
9.931;62.65;0.05;;;;;
9.962;64.82;0.03;;;;;

